Firma;Strasse;PLZ;Ort;Land;LoginEmail
Grieche am Viadukt;Schwarzwaldstraße 31;74321;Bietigheim-Bissingen;Deutschland
Hotel Rose;Fräuleinstraße 1;74321;Bietigheim-Bissingen;Deutschland
Mönchhaus;Untere Gasse 13;74321;Bietigheim-Bissingen;Deutschland
Posthof;Hauptstraße 15;74321;Bietigheim-Bissingen;Deutschland
Restaurant am Viadukt;Schwarzwaldstraße 31;74321;Bietigheim-Bissingen;Deutschland
Ristorante Da Giovanni;Stuttgarter Str. 50;74321;Bietigheim-Bissingen;Deutschland
Schiller-Stuben;Löchgauer Str. 20;74321;Bietigheim-Bissingen;Deutschland
Villa Vis-a-Vis;Schuonstraße 1;74321;Bietigheim-Bissingen;Deutschland
Wirtshaus am ZOB;Bahnhofsplatz 1;74321;Bietigheim-Bissingen;Deutschland
Gasthof zur Eintracht;Sulzbacher Str. 12;71522;Backnang;Deutschland
Kunberger;Marktstraße 2;71522;Backnang;Deutschland
Lamm;Marktstraße 12;71522;Backnang;Deutschland
Metzgerei Kühnle;Annonay-Straße 1;71522;Backnang;Deutschland
Olympia;Gartenstraße 130;71522;Backnang;Deutschland
Ratskeller Backnang;Marktplatz 7;71522;Backnang;Deutschland
